node_id,osm_node_id,osm_highway,lat,lng
5,4070185563,crossing,-87.6392904,41.9326735
149,929515145,crossing,-87.6382443,41.8780693
271,1642947516,crossing,-87.6239267,41.8641268
282,707902604,crossing,-87.6443355,41.8889438
455,6683480323,crossing,-87.5245433,41.6991384
456,4151715997,crossing,-87.5245395,41.6918
1332,5690511820,crossing,-87.9222049,41.8725438
2427,6131658790,crossing,-87.6391297,41.8697616
2481,7874586664,crossing,-87.6459923,41.9696404
2554,257155186,crossing,-87.6647302,41.9753586
2576,736917774,crossing,-87.620377,41.8896671
2907,258929543,crossing,-87.619098,41.8855256
5021,1255597687,crossing,-87.7227721,41.997154
6701,366651240,crossing,-87.7822039,41.9057238
6703,366651241,crossing,-87.7820132,41.9058895
7310,9787020936,crossing,-87.6863138,41.9632658
7517,6026922083,crossing,-87.8138151,41.820428
8679,261142203,crossing,-87.8065396,41.6773074
9305,736860879,crossing,-87.6226513,41.8910541
11523,2653646141,crossing,-87.7526798,41.9829748
12898,370715789,crossing,-87.654484,41.7031469
13378,5739887290,crossing,-87.8698434,41.8159294
14591,3601362388,crossing,-87.8140615,41.6790461
14908,9065734722,crossing,-87.6453847,41.8857789
18277,26817937,crossing,-87.6363854,41.9192403
18492,261198119,crossing,-87.6071466,41.7949802
19064,261200533,crossing,-87.7701792,42.0049529
19799,377277341,crossing,-87.8831927,41.8796804
20147,261205222,crossing,-87.6464944,41.8416448
22599,1912475554,crossing,-87.8271048,41.8025583
22605,261217343,crossing,-87.8184533,41.8399524
23302,1912629294,crossing,-87.8226329,41.8413943
23910,6955517465,crossing,-87.6941343,41.9466378
24493,9960358002,crossing,-87.6761087,41.9082376
25121,1710605796,crossing,-87.8400868,41.8106332
25891,261207130,crossing,-87.5901526,41.7874279
25893,261207136,crossing,-87.5903872,41.786493
25936,1659967211,crossing,-87.660697,42.0046284
26488,262071892,crossing,-87.6338785,41.9148361
26818,8622702892,crossing,-87.64901,41.8950791
27038,9921814859,crossing,-87.6302867,41.9094471
28705,261268172,crossing,-87.6939577,41.9175215
32632,737157978,crossing,-87.7692048,41.8770176
34791,7331981253,crossing,-87.6548345,41.9691743
35177,7070501070,crossing,-87.6869192,41.9290751
35728,1472588622,crossing,-87.6647131,41.8088169
36009,8140652763,crossing,-87.8002143,41.7572013
36410,286371375,crossing,-87.6499394,41.9248817
36676,370715303,crossing,-87.6454377,41.6850333
37425,1991208332,crossing,-87.7023698,41.9119831
37565,9921814821,crossing,-87.6385834,41.8964101
39033,9921814819,crossing,-87.6400494,41.8963872
39705,6131657482,crossing,-87.6470872,41.8766818
39966,393639455,crossing,-87.704184,41.972122
40337,527167111,crossing,-87.7455185,42.0190142
40591,339025369,crossing,-87.8522654,41.8460189
41392,408466759,crossing,-87.6995429,41.8561599
41697,369650449,crossing,-87.7051993,41.9284048
41863,9921814673,crossing,-87.6552818,41.8961733
41876,364017952,crossing,-87.8387132,41.8753303
41881,371319102,crossing,-87.5626669,41.7662873
41885,2405698658,crossing,-87.5333089,41.7218234
41889,9790926248,crossing,-87.5352685,41.7130133
42054,305518923,crossing,-87.7058791,41.9830849
42253,4427781274,crossing,-87.6997036,41.9648556
42262,286899823,crossing,-87.7031395,41.9721318
42312,408455207,crossing,-87.7121965,41.882124
42521,8088464259,crossing,-87.8324263,41.8426069
42557,4226839766,crossing,-87.6614187,41.8616238
42963,734203886,crossing,-87.6611422,41.93244
43399,8140652748,crossing,-87.8002822,41.7590412
43621,4156112964,crossing,-87.6367296,41.8805505
43643,929535603,crossing,-87.6295436,41.8879252
44037,6936003898,crossing,-87.6297053,41.8939751
44427,2399879925,crossing,-87.5402023,41.7229006
44538,372332191,crossing,-87.5303663,41.6918217
44587,4850474102,crossing,-87.5836826,41.8026586
45929,7025421614,crossing,-87.6265583,41.8900895
46224,9921814820,crossing,-87.6398975,41.8966486
48249,4484785259,crossing,-87.7412939,42.0045177
48634,9553496381,crossing,-87.5991986,41.7586447
48730,5912726396,crossing,-87.6260085,41.8674865
48773,261198927,crossing,-87.6945137,41.908429
49273,4476999864,crossing,-87.7105855,41.6913463
49513,1894138935,crossing,-87.6289215,41.8308783
49753,8781276421,crossing,-87.7035849,41.9684912
49854,261295162,crossing,-87.900283,41.8263657
50172,1607674917,crossing,-87.8071484,41.9827639
50365,9374007922,crossing,-87.641409,41.9328008
50670,1314171851,crossing,-87.7028303,41.8555577
50740,1447056049,crossing,-87.7220506,41.9737764
51667,305522484,crossing,-87.6896064,41.9886414
52505,406162279,crossing,-87.7026329,41.9207027
52680,6841533769,crossing,-87.6440056,41.9220437
52999,9995480733,crossing,-87.6429478,41.8889506
53365,3480660547,crossing,-87.5480607,41.7518613
53602,2596234226,crossing,-87.6345773,41.8529949
53656,2596258162,crossing,-87.7071434,41.9205277
53662,1589852833,crossing,-87.7092317,41.9929173
53737,4332972946,crossing,-87.6063949,41.8018161
53739,1587883242,crossing,-87.6027453,41.786439
53766,375636883,crossing,-87.5763245,41.7734548
53874,2627684171,crossing,-87.6584447,41.8343127
54213,1396144809,crossing,-87.5842475,41.7806072
54680,5891282454,crossing,-87.6679836,41.9161246
54852,1740050157,crossing,-87.7411638,41.78424
55039,2284331794,crossing,-87.6292044,41.8722814
55116,2281265548,crossing,-87.7057773,41.9281912
55279,9102166213,crossing,-87.5980984,41.7951584
55610,3222806459,crossing,-87.8015058,41.8886541
55859,5337853369,crossing,-87.7019958,41.913963
56598,5930915054,crossing,-87.6947311,41.8666474
56600,5906982864,crossing,-87.6934386,41.8666672
56694,1257584225,crossing,-87.6697812,41.9895763
56714,7871418117,crossing,-87.6463232,41.9657879
56745,5337853368,crossing,-87.7019913,41.9137277
56861,2787305670,crossing,-87.6241353,41.8808398
56885,104509541,crossing,-87.7076613,41.9903924
57575,3222806455,crossing,-87.8041282,41.8886057
58269,4215482859,crossing,-87.6617145,41.8717282
58290,9309565805,crossing,-87.6644245,41.8776691
59408,9910509850,crossing,-87.6663609,41.8521542
59792,1314171729,crossing,-87.6960404,41.8665129
60036,4332636379,crossing,-87.658763,41.9982021
61497,4332972939,crossing,-87.6223083,41.7943591
61511,9265222347,crossing,-87.6064135,41.8023457
61876,7229065452,crossing,-87.5861069,41.7515032
62144,371356140,crossing,-87.7110831,42.0191147
63438,8739550723,crossing,-87.679132,41.9670092
63655,7682812503,crossing,-87.5901349,41.8104092
64234,258020680,crossing,-87.6387664,41.8818869
64693,8607502840,crossing,-87.6489953,41.8955355
64735,1314186027,crossing,-87.6957567,41.8615345
64747,1570054952,crossing,-87.6434848,41.9487179
64817,4287030176,crossing,-87.785025,41.9018655
64820,3601362387,crossing,-87.8129264,41.6784165
